[BackstageTalkSet2032:0] あ、とーこちゃんとるいるいだ
[BackstageTalkSet707:7] るいるいととーこちゃんも同じチームだよね？
[Scenario108:105] おお〜、さすがとーこちゃん！名作が生まれる予感がするよ～
[Scenario38:56] えっ！　一人で写ると真ん中になっちゃう……！とーこちゃん、ちょっと左向きに撮ってくれる？
[Scenario57:13] とーこちゃん、絶対喜んでくれると思うな～
[Scenario73:82] さすがとーこちゃん、分かってる～！そうなの！　アルテミアは奥が深いんだよ～
[Scenario89:12] あはは、とーこちゃんの言ってた通りだ～。サプライズ成功だね～
[Scenario89:57] あはは……それで、とーこちゃん。『PERFECT BREAD』のお味は～？
[Scenario92:2] とーこちゃん来たみたいだよ。みんな、準備はいい？
[Scenario92:36] とーこちゃんなら、365人分とかすぐ集まりそうだね
[Scenarioarea4188:2] とーこちゃんのピック、いつもと違うやつだね？
[Scenarioarea4209:8] そうだ、せっかくだし、後でとーこちゃんにメイクとか──
[Scenarioarea4215:3] とーこちゃんだよ
[Scenarioarea4283:6] さすがとーこちゃん。そういうの必ずチェックしてるよね
[Scenarioarea4284:6] ……あれ？とーこちゃん、人違いだよ！
[Scenarioarea4342:6] ……え、とーこちゃんとーこちゃん。もしかして、今の一瞬で写真撮ったの？
[Scenarioarea4342:10] ほ、ほんとだ……いい感じ……！すごいねとーこちゃん、早撃ちガンマンみたいだよ〜
[Scenarioarea4343:7] ほほう、とーこちゃんの好きなものって？
[Scenarioarea4380:10] うんうん、みなまで言うな、とーこちゃん。私達も、あーいうのやってみよっか〜
[Scenarioarea4391:2] や〜ありがとね、とーこちゃん。私一人だと、服とかわかんなくって
[Scenarioarea4533:7] とーこちゃん張り切ってるね〜
[Scenarioarea4568:74] お〜、とーこちゃん何か秘策があるのかな？
[Scenarioarea4614:6] いやいや、とーこちゃんに言われたくないよ～。そばクレとか、虹色のスムージーとかも十分変だよ～
[Scenarioarea4614:8] そ、そうなんだ……とーこちゃんも一回おまけ集めてみたら世界かわるかもよ～？
